text,label
I'm on cloud nine! Seriously.,joy
THIS IS TOTALLY UNACCEPTABLE!,anger
I'm listening to a podcast about history. Just saying.,neutral
Here is the link to the document.,neutral
I feel physically sick looking at this.,disgust
I'm afraid to even speak up about it.,fear
My jaw just dropped. Wow.,surprise
The cat is sleeping on the sofa.,neutral
I AM EXTREMELY DISAPPOINTED AND ANGRY.,anger
Makes me want to wash my eyes out.,disgust
"I'M SHAKING, THAT WAS A CLOSE CALL.",fear
This makes my blood boil. Can't believe it.,anger
Why is everything always broken? I am so mad. For real.,anger
The future looks so dark and threatening.,fear
I have a really bad feeling about this... Honestly.,fear
"My heart is racing, I'm so nervous.",fear
Feeling incredibly depressed and lonely tonight.,sadness
A tragic ending to a beautiful story. No way.,sadness
Mind blown. Simply incredible.,surprise
THE WATER IS AT ROOM TEMPERATURE. JUST SAYING.,neutral
This news honestly scares me.,fear
Tears of joy streaming down my face! Honestly.,joy
"What a wonderful surprise, thank you!",joy
This is totally unacceptable!,anger
I wish I could unsee that.,disgust
"Suddenly, everything changed.",surprise
I'm absolutely speechless.,surprise
You've got to be kidding me!,surprise
This makes my blood boil.,anger
"WAIT, IS THIS ACTUALLY HAPPENING?",surprise
"I'm panicking, I don't know what to do. Honestly.",fear
Genuinely nauseating content.,disgust
This is genuinely disgusting behavior. Honestly.,disgust
"Yuck, I can't even stand to think about it.",disgust
"Ugh, that's so oily and gross. Just saying.",disgust
"My heart is racing, I'm so nervous.",fear
THIS IS THE WORST CUSTOMER SERVICE I HAVE EVER EXPERIENCED. WOW.,anger
CAN'T BELIEVE THEY WOULD DO SOMETHING SO STUPID.,anger
THIS NEWS HONESTLY SCARES ME.,fear
This is a dream come true. Honestly....,joy
Give me a refund right now! No way.,anger
THE INCOMPETENCE IS STAGGERING. HONESTLY.,anger
STOP IGNORING THE COMMUNITY'S COMPLAINTS! NO WAY.,anger
This news honestly scares me. Seriously....,fear
I walked to the park this morning.,neutral
"MY HEART IS RACING, I'M SO NERVOUS.",fear
"Eww, this is absolutely repulsive. Wow.",disgust
I'm terrified to check my bank account.,fear
I feel physically sick looking at this.,disgust
The weather is cloudy today. Bro.,neutral
Just crying in my room. This hurts so much.,sadness
I feel so lucky to have such great friends. Bro.,joy
Lunch will be served at noon.,neutral
Heart full of happiness and gratitude.,joy
"Yay, we finally did it! So proud of the team. Wow.",joy
I wish I could unsee that....,disgust
I can't believe my eyes!,surprise
WOW! I DID NOT SEE THAT COMING AT ALL!,surprise
Loving every second of this beautiful morning. Seriously.,joy
I keep reliving the same painful memories. Just saying.,sadness
This is an insult to the users. No way.,anger
This is the worst customer service I have ever experienced. Honestly.,anger
Genuinely nauseating content.,disgust
I'm absolutely speechless.,surprise
I feel so hopeless and forgotten.,sadness
I miss them so much it hurts.,sadness
Astonishing turn of events! Bro.,surprise
What if everything goes wrong tomorrow? Can't believe it.,fear
WHAT?! THAT IS CRAZY! FOR REAL.,surprise
"I'm panicking, I don't know what to do.",fear
IT FEELS LIKE SOMETHING IS WATCHING ME. JUST SAYING.,fear
THIS IS AN INSULT TO THE USERS. SERIOUSLY.,anger
GENUINELY NAUSEATING CONTENT. HONESTLY.,disgust
The water is at room temperature. No way.,neutral
Lunch will be served at noon. Bro.,neutral
I need to buy some new shoes. For real.,neutral
THE SHEER LACK OF HYGIENE IS DISTURBING.,disgust
I can't stop worrying about it.!!,fear
Absolutely vile and nasty.,disgust
"Total plot twist, I'm stunned.",surprise
Here is the link to the document. No way.,neutral
Simply wonderful and delightful.,joy
Give me a refund right now!,anger
That smells terrible. Seriously.,disgust
I can't believe people find this appealing.,disgust
I FEEL SO COMPLETELY HEARTBROKEN AND LOST. CAN'T BELIEVE IT.,sadness
The silence is deafening and lonely.,sadness
You've got to be kidding me! Can't believe it.,surprise
THE WORLD FEELS SO GRAY AND LIFELESS.,sadness
"Whoa, that was completely unexpected. Seriously.",surprise
Simply wonderful and delightful.,joy
Heart full of happiness and gratitude.,joy
I feel so completely heartbroken and lost. For real.,sadness
This is the best news I've heard all year!!!,joy
Couldn't ask for anything more.,joy
This grief is unbearable. Just saying.,sadness
It feels like something is watching me.,fear
Here is the link to the document.,neutral
I KEEP RELIVING THE SAME PAINFUL MEMORIES.,sadness
It's just slimy and weird. Seriously.,disgust
Why does everything always have to end in tears? No way.,sadness
Makes me want to wash my eyes out. Wow.,disgust
Why does everything always have to end in tears?,sadness
Where did that come from?! Bro.,surprise
The future looks so dark and threatening.,fear
I'm on cloud nine! Bro.,joy
Couldn't ask for anything more. For real.,joy
"I could scream, this is so frustrating.",anger
I can't believe my eyes!!!!,surprise
Feeling so blessed and joyful right now.,joy
This is totally unacceptable!,anger
That is just plain wrong on so many levels.,disgust
Lunch will be served at noon. Honestly.,neutral
I have two appointments today.,neutral
Genuinely nauseating content.,disgust
I feel so vulnerable and unsafe. Just saying.,fear
I have a really bad feeling about this...,fear
I'm jumpy and on edge all day.,fear
The cat is sleeping on the sofa. Wow.,neutral
The world feels so gray and lifeless. Bro.,sadness
I can't stop worrying about it. Honestly.,fear
I FEEL SO HOPELESS AND FORGOTTEN. NO WAY.,sadness
This food looks moldy and horrifying.,disgust
A tragic ending to a beautiful story. For real.?!,sadness
This is a blue cup on the table.,neutral
THE SHEER LACK OF HYGIENE IS DISTURBING. JUST SAYING.,disgust
THIS IS THE BEST NEWS I'VE HEARD ALL YEAR!!! HONESTLY.,joy
You've got to be kidding me! For real.,surprise
"Eww, this is absolutely repulsive.",disgust
Nobody understands how much I'm struggling. Seriously.,sadness
I'm listening to a podcast about history.,neutral
"I'm panicking, I don't know what to do. Bro.!!",fear
I'M SEETHING WITH RAGE RIGHT NOW. FOR REAL.,anger
"What a wonderful surprise, thank you! Wow.?!",joy
I wish I could unsee that.!!,disgust
HOW DARE THEY CHARGE US FOR THIS GARBAGE?,anger
THE SILENCE IS DEAFENING AND LONELY. NO WAY.,sadness
"Whoa, that was completely unexpected. Wow.",surprise
I'm totally grossed out by this. Honestly.,disgust
"Waste of time and money, I'm livid. No way.",anger
"I'm shaking, that was a close call.",fear
I'm listening to a podcast about history. Seriously.,neutral
"Oh my goodness, really?!",surprise
I'm absolutely speechless. Bro.,surprise
I failed again. I'm so disappointed in myself. Wow.,sadness
Just finishing up some routine work. No way.,neutral
I feel physically sick looking at this.,disgust
I FEEL SO COMPLETELY HEARTBROKEN AND LOST.,sadness
I feel so completely heartbroken and lost.?!,sadness
Everything is finally coming together perfectly. Seriously.,joy
Absolutely vile and nasty.,disgust
This is an insult to the users. Can't believe it.,anger
The thought of losing this terrifies me. Can't believe it.,fear
I'm so excited for the weekend! Bro.!!,joy
So worried and anxious right now.,fear
I can't stop worrying about it. No way.,fear
Mind blown. Simply incredible. Seriously.,surprise
This is an insult to the users. For real.,anger
This is an insult to the users. Can't believe it.,anger
I wish I could unsee that.,disgust
"I'M SHAKING, THAT WAS A CLOSE CALL. SERIOUSLY.",fear
I was NOT expecting that response....,surprise
Stop ignoring the community's complaints!,anger
I couldn't be happier with these results.,joy
I FEEL LIKE A BURDEN TO EVERYONE AROUND ME.,sadness
This made my day so much better. Just saying.,joy
A tragic ending to a beautiful story. Honestly.,sadness
Why does everything always have to end in tears? Honestly.,sadness
I've about had it with these constant delays.,anger
"Whoa, that was completely unexpected.",surprise
That's just foul and inappropriate. Bro.,disgust
